CENTRE NAME,SERVICE CODE,PHONE NUMBER,LATITUDE,LONGITUDE,SERVICE DAY,HALL,CAMPUS,APOSTLE,Apostleship
AKUAFO MAIN,TC0050,233209062930,5.649235,-0.185536,THURSDAY,AKUAFO HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY-LITE,TC0048,233240024423,5.635595,-0.18691,WEDNESDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
LAGOS AVENUE,TC0027,233244076740,5.639778,-0.168705,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
WESTLANDSÂ,TC0034,233244853685,0,0,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
AMERICAN HOUSE,TC0038,233245199493,5.65042,-0.15257,TUESDAY,AMERICAN HOUSE,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
HAATSO,TC0024,233245561588,5.667064,-0.2059398,WEDNESDAY,HAASTO,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
ACCRA COLLEGE OF MEDICINE,TC0009,233247290259,5.6486,-0.14,THURSDAY,ACCRA COLLEGE OF MEDICINE,ACM,Agyeman,Isaac Ofori Agyeman
MADINA FIRESTONE,TC0011,233247723080,5.6705,-0.1742,WEDNESDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
UPSA AGAPE,TC0012,233248214823,0,0,WEDNESDAY,PENTAGON 2 GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK B 2,TC0057,233248938014,5.658975,-0.1820889,WEDNESDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY,TC0003,233263654353,5.635852,-0.187073,THURSDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
HEAVENS GATE,TC0033,233265664163,5.6569,-0.1639,THURSDAY,UPSA AYELE GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
AKUAFFO ANNEX,TC0045,233267283778,5.6471238,-0.1868263,THURSDAY,AKUAFO HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK C PRESENCE,TC0067,233269481764,5.6584,-0.181,THURSDAY,PENTAGON 2 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 3,TC0049,233272023322,5.650816,-0.189109,THURSDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
HILLA LIMANN 2,TC0047,233279742754,5.6372,-0.1847,WEDNESDAY,HILLA LIMANN GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 1,TC0002,233501209445,5.6373,-0.18562,WEDNESDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
UPSA HOSTEL 2,TC0065,233501231018,5.6591,-0.1714,THURSDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
TF 2,TC0059,233502264682,5.666501,-0.18202,WEDNESDAY,TF GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
UPSA HOSTEL 1,TC0066,233505323520,5.6591,-0.1714,WEDNESDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
EVANDY,TC0020,233506710916,5.662708,-0.1814246,TUESDAY,EVANDY GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
WISCONSIN WEST LEGON UNION,0424,233507408112,0,0,WEDNESDAY,GIMPA,GIMPA,Agyeman,Isaac Ofori Agyeman
JEAN NELSON 2,TC0054,233545969744,5.635738,-0.188125,WEDNESDAY,JEAN NELSON GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK A PRESENCE,TC0062,233546027277,5.657551,-0.182143,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
COMMONWEALTH CAFETERIA,TC0055,233546508557,5.651134,-0.192516,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
LEGON STAFF VILLAGE,TC0043,233548456942,5.6509307,-0.1774831,WEDNESDAY,LEGON STAFF VILLAGE,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
TEMA NARHBITA CAMPUS,0436,233549371229,5.657721,-0.010813,TUESDAY,TEMA NARHBITAÂ,Tema Narh-Bita,Agyeman,Isaac Ofori Agyeman
MENSAH SARBAH MAIN,TC0056,233550425392,5.64622,-0.186964,THURSDAY,SARBAH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
BANI,TC0013,233553050440,5.6641426,-0.1796943,TUESDAY,BANI GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
WEBSTER,TC0010,233553275343,5.6385,-0.1659,THURSDAY,WEBSTER,WEBSTER,Agyeman,Isaac Ofori Agyeman
ALEX KWAPONG 3,TC0064,233553676755,5.639,-0.186167,THURSDAY,ALEX KWAPONG GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
HILLA LIMANN 1,TC0001,233556064746,5.6372,-0.1847,THURSDAY,HILLA LIMANN GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
ELIZABETH SEY 2,TC0063,233556532629,5.635906,-0.188711,THURSDAY,ELIZABETH SEY GENERAL,LEGON GENERAL DIASPORA,Agyeman,Isaac Ofori Agyeman
VOLTA HALL,TC0051,233557048328,5.651712,-0.189331,WEDNESDAY,VOLTA HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 1,TC0004,233557640461,5.653399,-0.189965,WEDNESDAY,LEGON HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
LANCASTER,TC0015,233557828923,5.6417498,-0.1523514,WEDNESDAY,LANCASTER,LANCASTER,Agyeman,Isaac Ofori Agyeman
UPSA MB3 HOSTEL,TC0037,233558850975,5.6466,-0.1614,THURSDAY,UPSA HOSTEL GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
BANI 2,TC0061,233572710703,5.6641426,-0.1796943,TUESDAY,BANI GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
KISSEMANÂ,TC0036,0,5.6399409,-0.2193878,THURSDAY,WESTLANDS GENERAL,COMMUNITIES GENERAL,Agyeman,Isaac Ofori Agyeman
WEST LEGON STARBITES,0158,0,5.661907,-0.205653,WEDNESDAY,GIMPA,GIMPA,Agyeman,Isaac Ofori Agyeman
COMMONWEALTH,TC0035,0,5.6506504,-0.1925223,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
CENTRAL LEGON 2,TC0040,0,5.653424,-0.189968,WEDNESDAY,COMMONWEALTH HALL GENERAL,LEGON GENERAL CENTRAL,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK A,TC0022,0,5.6574,-0.1821,WEDNESDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
EVANDY 2,TC0046,0,5.667208,-0.1814246,TUESDAY,EVANDY GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PENTAGON BLOCK A PROTON,TC0058,0,5.6574,0.1821,THURSDAY,PENTAGON 1 GENERAL,LEGON GENERAL PENT CITY,Agyeman,Isaac Ofori Agyeman
PRESTIGE,TC0016,0,5.6594,-0.1672,THURSDAY,UPSA AYELE GENERAL,UPSA General,Agyeman,Isaac Ofori Agyeman
LEGON EVANDY BLOCK D,0552,233204688830,5.656466,-0.182182,WEDNESDAY,EVANDY,Legon Pent City,Njeru,Kent Njeru
WISCONSIN INT HOSTEL,0103,233208567133,5.688067,-0.203518,THURSDAY,WISCONSIN,WISCONSIN,Njeru,Kent Njeru
LEGON BANI B,0110,233209069769,5.657531,-0.182151,THURSDAY,BANI,Legon Pent City,Njeru,Kent Njeru
CMIOTSO CAMPUS BASEMENT,0567,233240930265,5.762425,0.081746,SATURDAY,CENTRAL MIOTSO,CENTRAL MIOTSO,Njeru,Kent Njeru
CMIOTSO CAMPUS STARLEYS,0568,233245155605,5.765451,0.061185,THURSDAY,CENTRAL MIOTSO,CENTRAL MIOTSO,Njeru,Kent Njeru
CMIOTSO MAIN CAMPUS,0090,233245155605,5.772852,0.083646,THURSDAY,CENTRAL MIOTSO,CENTRAL MIOTSO,Njeru,Kent Njeru
MARITIME,0036,233246775690,5.608519,-0.062973,THURSDAY,WISCONSIN,MARITIME,Njeru,Kent Njeru
TN WISCONSIN,0058,233249747781,5.67206,-0.189949,THURSDAY,WISCONSIN,WISCONSIN,Njeru,Kent Njeru
TF,0034,233264285315,5.658645,-0.180808,THURSDAY,TF,Legon Pent City,Njeru,Kent Njeru
LEGON PENTAGON BLOCK A,0104,233268520551,5.666394,-0.18215,THURSDAY,PENTAGON BLOCK,Legon Pent City,Njeru,Kent Njeru
PENTAGON,0033,233268743425,5.635369,-0.188507,THURSDAY,PENTAGON BLOCK C,Legon Pent City,Njeru,Kent Njeru
LEGON PENTAGON OTHERS,0428,233275070005,5.637455,-0.186079,WEDNESDAY,PENTAGON BLOCK C,Legon Pent City,Njeru,Kent Njeru
WISCONSIN ADJEI MENSAH,0467,233501118407,"0
","0
",THURSDAY,WISCONSIN,WISCONSIN,Njeru,Kent Njeru
BANI,0026,233501970010,5.656591,-0.181084,WEDNESDAY,BANI,Legon Pent City,Njeru,Kent Njeru
PENTAGON BLOCK C EAST,0184,233506487428,5.66314,-0.179665,THURSDAY,PENTAGON BLOCK C,Legon Pent City,Njeru,Kent Njeru
CMIOTSO GIG,0566,233507095479,5.760639,0.075064,THURSDAY,CENTRAL MIOTSO,CENTRAL MIOTSO,Njeru,Kent Njeru
WISCONSIN FLOWERS,0251,233509368029,5.670415,-0.18955,WEDNESDAY,WISCONSIN,WISCONSIN,Njeru,Kent Njeru
LEGON EVANDY BLOCK B,0106,233542492711,5.663104,-0.181578,WEDNESDAY,EVANDY,Legon Pent City,Njeru,Kent Njeru
LEGON TF BLOCK B,0113,233543083963,5.63708,-0.184411,WEDNESDAY,TF,Legon Pent City,Njeru,Kent Njeru
LEGON PENTAGON BLOCK B,0112,233544519363,5.636179,-0.187243,THURSDAY,PENTAGON BLOCK B,Legon Pent City,Njeru,Kent Njeru
PENTAGON AC,0183,233546177765,5.658645,-0.180808,THURSDAY,OLD PENTAGON,Legon Pent City,Njeru,Kent Njeru
PENTAGON KC,0186,233547416685,5.656546,-0.181953,TUESDAY,OLD PENTAGON,Legon Pent City,Njeru,Kent Njeru
PENTAGON DC,0185,233548206186,5.635369,-0.188507,THURSDAY,PENTAGON BLOCK,Legon Pent City,Njeru,Kent Njeru
EVANDY BLOCK C,0189,233550423404,5.66314,-0.179665,FRIDAY,EVANDY,Legon Pent City,Njeru,Kent Njeru
BANI BLOCK D,0188,233553532569,5.637274,-0.186079,FRIDAY,BANI,Legon Pent City,Njeru,Kent Njeru
CMIOTSO QUEENS COURT,0439,233554486524,5.757684,0.070158,FRIDAY,CENTRAL MIOTSO,CENTRAL MIOTSO,Njeru,Kent Njeru
EVANDY,0028,233558401366,5.63708,-0.184411,THURSDAY,EVANDY,Legon Pent City,Njeru,Kent Njeru
LEGON PENTAGON BLOCK B WEST,0551,233560239871,5.657543,-0.182151,WEDNESDAY,PENTAGON BLOCK B,Legon Pent City,Njeru,Kent Njeru
BANI BLOCK C,0187,233577419898,5.636202,-0.187243,WEDNESDAY,BANI,Legon Pent City,Njeru,Kent Njeru
AIT,0207,0,5.5375805,-0.3328266,THURSDAY,AIT CENTRE,AIT,Asamoah,Kwabena Asamoah Jr
KORLE BU AMPLIFY,0072,233202960718,5.538921,-0.229438,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB AMPLIFY PROTON,0398,233203041143,5.5379483,-0.2316661,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KORLE BU VICTORY,0007,233203664060,5.5379483,-0.2316661,WEDNESDAY,VICTORY HOSTEL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
KB LATERBIOKORSHIE AYIGBE TOWN,0519,233209062859,5.551928,-0.232441,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
AP YMCA,0144,233209915039,5.568839,-0.202797,WEDNESDAY,YMCA HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP OLD HOSTEL EDEN,0485,233240627968,5.553712,-0.20985,WEDNESDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
KB KORLE GONNO BERNADO,0511,233240643115,5.53486,-0.231889,THURSDAY,MEDICAL BLOCKS,KORLE-BU,Asamoah,Kwabena Asamoah Jr
AP ACCRA CITY CAMPUS,0582,233241167272,5.55786,0.20701,THURSDAY,YMCA HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP NEW HOSTEL 2ND FLOOR,0488,233241990876,5.553057,-0.206196,WEDNESDAY,NEW HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
LAPAZ PENTECOST GLORY,0506,233242068921,5.63131,-0.273347,THURSDAY,BBM HOSTEL,PENTECOST,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA EVANDY,0423,233242970497,5.55881,-0.214851,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
KB GLORY,0570,233244094005,5.537086,-0.232567,THURSDAY,NURSING SCHOOL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
METHODIST UNI CENTRE,0070,233245046195,5.566548,-0.260722,THURSDAY,ALPHA ROYAL HOSTEL GROUND FLOOR,METHODIST UNIVERSITY,Asamoah,Kwabena Asamoah Jr
KASOA KINGS COLLEGE,0270,233245056912,5.5369682,-0.3284227,THURSDAY,KINGS COLLEGE,KINGS UNIVERSITY,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA ODORNA,0583,233245193934,5.561881,0.213552,THURSDAY,YOURS AND OURS,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP AZUMA ADABRAKA,0274,233249067845,5.553225,-0.208329,THURSDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
GTUC DELICIOUS HOSTEL,0088,233261844338,5.5961082,-0.2327054,THURSDAY,DELICIOUS HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
TN ACCRA POLY,0005,233270735622,5.554725,-0.202664,THURSDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
LAPAZ PENTECOST,0504,233274366966,5.6222,-0.2735,TUESDAY,VILLAGIO HOSTEL,PENTECOST,Asamoah,Kwabena Asamoah Jr
KB TROPICS,0520,233277272717,5.5379483,-0.2316661,THURSDAY,SOH HOSTEL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
GTUC TWINKLE HOSTEL,0122,233502427821,5.597743,-0.229226,WEDNESDAY,TWINKLE HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA EVANDY OLD HOSTEL,0580,233509445346,5.560751,-0.213079,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
GHANA TELECOM,0045,233548943979,5.5982341,-0.2236972,THURSDAY,MENSFARM,GTUC,Asamoah,Kwabena Asamoah Jr
ADABRAKA,0087,233551423817,5.555041,-0.212975,WEDNESDAY,YOURS AND OURS,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
KB SHEMEN,0521,233553628649,5.5365978,-0.2318344,THURSDAY,NURSING SCHOOL,KORLE-BU,Asamoah,Kwabena Asamoah Jr
AP OLD HOSTEL 2ND FLOOR,0487,233555072989,5.552648,-0.205167,WEDNESDAY,OLD HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP NEW HOSTEL GROUND FLOOR,0489,233555208147,-5.553057,-0.206196,WEDNESDAY,NEW HOSTEL,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
GTUC PALACE HOSTEL,0121,233555660718,5.6024508,-0.2347919,THURSDAY,PALACE HOSTEL,GTUC,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA DK HOSTEL,0584,233556447983,5.557719,0.214726,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP ELTONIA,0491,233558758917,5.556887,-0.208307,THURSDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
AP ADABRAKA ADEPA,0581,233559306339,5.556964,0.209535,THURSDAY,EVANDY HOSTEL,LEGON CITY CAMPUS,Asamoah,Kwabena Asamoah Jr
AP GOIL HOSTEL,0486,233572580165,5.5542,-0.20985,WEDNESDAY,AZUMA,ACCRA POLY,Asamoah,Kwabena Asamoah Jr
VVU CAMPUS BEDIAKO HALL,0212,233202134922,5.7991356,-0.1207897,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
UPSA AYELE PRESTIGE,0290,233205873267,5.6594283,-0.1692487,WEDNESDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
ACC ASHESI 6,AC0120,233209525681,5.758093,-0.221063,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA FIRESTONE MELCOM,0410,233233388191,5.6785993,-0.1722837,THURSDAY,UPSA,UPSA FIRESTONE,Baidoo,Paul Baidoo
UPSA ON CAMPUS,0092,233240832207,5.6617402,-0.1658047,THURSDAY,UPSA,UPSA PRESTIGE,Baidoo,Paul Baidoo
UPSA (AGAPE),0054,233240933226,5.671415,-0.1686381,THURSDAY,UPSA,UPSA AGAPE,Baidoo,Paul Baidoo
UPSA AYELE WEST,0414,233241571239,5.663619,-0.167511,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
VVU CAMPUS -E.G WHITE HALL,0211,233241992415,5.7993373,-0.1260682,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
VVU CAMPUS - NASDAG HALL,0213,233243256067,5.7991356,-0.1207897,THURSDAY,VALLEY VIEW CAMPUS,VALLEY VIEW UNIVERSITY,Baidoo,Paul Baidoo
ACC ASHESI 1,AC0005,233248844047,5.764295,-0.219321,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
ACC ASHESI 2,AC0006,233262760003,5.8089,-0.3503,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA AYELE YELLOW HOSTEL,0283,233268968966,5.658438,-0.164555,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
ASHESI,0032,233273561082,5.7595,-0.2198,THURSDAY,ASHESI CAMPUS,ASHESI,Baidoo,Paul Baidoo
UPSA HOSTEL 2,0240,233274015507,5.6589,-0.1714,WEDNESDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA AYELE NORTH,0164,233275949831,5.662822,-0.162567,THURSDAY,UPSA,UPSA AYELE,Baidoo,Paul Baidoo
UPSA HOSTEL LEGON VILLA,0363,233277946883,5.6589,-0.1714,THURSDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
UPSA (HOSTEL),0053,233507155375,5.6589,-0.1714,FRIDAY,UPSA,UPSA HOSTEL,Baidoo,Paul Baidoo
MADINA ESTATES,0082,233507593679,5.666058,-0.165845,WEDNESDAY,UPSA,UPSA RAWLINGS CIRCLE,Baidoo,Paul Baidoo
